F300	0F680F72
F301	0F680F80
F302	0F680F74
F303	0F680F7A
F304	0F680F7C
F305	0F400F71
F306	0F400F72
F307	0F400F80
F308	0F400F74
F309	0F400F7A
F30A	0F400F7C
F30B	0F400FB1
F30C	0F400FB10F72
F30D	0F400FB10F80
F30E	0F400FB10F74
F30F	0F400FB10F7A
F310	0F400FB10F7C
F311	0F400FB2
F312	0F400FB20F72
F313	0F400FB20F80
F314	0F400FB20F74
F315	0F400FB20F7A
F316	0F400FB20F7C
F317	0F400FB3
F318	0F400FB30F72
F319	0F400FB30F80
F31A	0F400FB30F74
F31B	0F400FB30F7A
F31C	0F400FB30F7C
F31D	0F400FAD
F31E	0F620F90
F31F	0F620F900F72
F320	0F620F900F80
F321	0F620F900F74
F322	0F620F900F7A
F323	0F620F900F7C
F324	0F620F900FB1
F325	0F620F900FB10F72
F326	0F620F900FB10F80
F327	0F620F900FB10F74
F328	0F620F900FB10F7A
F329	0F620F900FB10F7C
F32A	0F630F90
F32B	0F630F900F72
F32C	0F630F900F80
F32D	0F630F900F74
F32E	0F630F900F7A
F32F	0F630F900F7C
F330	0F660F90
F331	0F660F900F72
F332	0F660F900F80
F333	0F660F900F74
F334	0F660F900F7A
F335	0F660F900F7C
F336	0F660F900FB1
F337	0F660F900FB10F72
F338	0F660F900FB10F80
F339	0F660F900FB10F74
F33A	0F660F900FB10F7A
F33B	0F660F900FB10F7C
F33C	0F660F900FB2
F33D	0F660F900FB20F72
F33E	0F660F900FB20F80
F33F	0F660F900FB20F74
F340	0F660F900FB20F7A
F341	0F660F900FB20F7C
F342	0F410F71
F343	0F410F72
F344	0F410F80
F345	0F410F74
F346	0F410F7A
F347	0F410F7C
F348	0F410FB1
F349	0F410FB10F72
F34A	0F410FB10F80
F34B	0F410FB10F74
F34C	0F410FB10F7A
F34D	0F410FB10F7C
F34E	0F410FB2
F34F	0F410FB20F72
F350	0F410FB20F80
F351	0F410FB20F74
F352	0F410FB20F7A
F353	0F410FB20F7C
F354	0F410FAD
F355	0F410FAD0F72
F356	0F410FAD0F80
